"";"duration"
0;34605
1;16737
2;8568
3;6316
4;5440
5;4765
6;4165
7;3819
8;3667
9;3358
10;3213
11;3082
12;2831
13;2915
14;2663
15;2693
16;2671
17;2446
18;2394
19;2428
20;2397
21;2511
22;2633
23;2947
24;3152
25;3131
26;2988
27;2743
28;2397
29;2061
30;1812
31;1533
32;1422
33;1312
34;1125
35;957
36;1028
37;892
38;834
39;781
40;805
41;732
42;659
43;625
44;628
45;554
46;507
47;491
48;473
49;475
50;444
51;426
52;435
53;491
54;463
55;472
56;500
57;524
58;517
59;592
60;563
61;602
62;662
63;702
64;758
65;724
66;805
67;733
68;790
69;817
70;877
71;914
72;901
73;930
74;1057
75;1041
76;1092
77;1056
78;1057
79;1058
80;1108
81;1048
82;1054
83;969
84;945
85;881
86;820
87;805
88;658
89;614
90;531
91;452
92;384
93;332
94;272
95;252
96;206
97;170
98;148
99;138
100;105
101;98
102;83
103;71
104;52
105;42
106;26
107;33
108;23
109;12
110;17
111;10
112;14
113;5
114;11
115;7
116;5
117;5
118;4
119;4
120;4
121;2
122;1
123;2
124;1
125;0
126;1
127;5
128;2
129;0
130;1
131;1
132;2
133;0
134;0
135;1
136;0
137;4
138;1
139;1
140;2
141;0
142;3
143;0
144;1
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;1
