"";"group_size"
2;150661
3;47365
4;31447
5;17383
6;13658
7;10323
8;8705
9;7271
10;6497
11;5671
12;5135
13;4689
14;4211
15;3962
16;3645
17;3496
18;3198
19;2848
20;2625
21;2433
22;2255
23;2045
24;1861
25;1595
26;1439
27;1242
28;1068
29;1006
30;820
31;671
32;567
33;468
34;351
35;285
36;219
37;178
38;145
39;124
40;91
41;74
42;68
43;56
44;37
45;32
46;36
47;28
48;37
49;24
50;25
51;23
52;25
53;17
54;9
55;20
56;9
57;15
58;15
59;12
60;8
61;10
62;7
63;4
64;6
65;5
66;2
67;2
68;2
69;4
70;6
71;1
72;1
73;1
74;5
75;3
76;3
77;1
78;0
79;1
80;1
81;0
82;2
83;1
84;2
85;0
86;0
87;1
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;1
105;0
106;0
107;0
108;0
109;0
110;1
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;1
