"";"duration"
0;40358
1;16376
2;8434
3;6251
4;5386
5;4731
6;4141
7;3816
8;3649
9;3337
10;3196
11;3057
12;2824
13;2903
14;2655
15;2683
16;2656
17;2436
18;2378
19;2407
20;2373
21;2479
22;2610
23;2913
24;3106
25;3089
26;2957
27;2704
28;2372
29;2029
30;1788
31;1520
32;1407
33;1308
34;1109
35;945
36;1019
37;887
38;829
39;779
40;801
41;723
42;656
43;621
44;620
45;549
46;505
47;486
48;472
49;470
50;442
51;424
52;427
53;487
54;462
55;464
56;496
57;519
58;512
59;587
60;559
61;595
62;656
63;695
64;753
65;717
66;797
67;725
68;779
69;809
70;868
71;911
72;890
73;925
74;1051
75;1030
76;1087
77;1048
78;1050
79;1050
80;1100
81;1039
82;1045
83;965
84;939
85;879
86;814
87;800
88;655
89;609
90;526
91;452
92;380
93;331
94;269
95;252
96;206
97;170
98;148
99;138
100;104
101;98
102;83
103;71
104;52
105;42
106;26
107;33
108;23
109;12
110;17
111;10
112;14
113;5
114;11
115;7
116;5
117;5
118;4
119;4
120;4
121;2
122;1
123;2
124;1
125;0
126;1
127;5
128;2
129;0
130;1
131;1
132;2
133;0
134;0
135;1
136;0
137;4
138;1
139;1
140;2
141;0
142;3
143;0
144;1
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;1
