"";"complete";"only birth";"only death";"no birth/death";"incorrect";"alive"
0;0;0;0;759;0;759
1810;0;0;0;0;1;1
1811;122;46;0;142;94;404
1812;646;233;11;585;490;1965
1813;1062;332;9;974;850;3227
1814;1314;438;8;1555;1199;4514
1815;1672;582;9;2035;1575;5873
1816;1950;693;13;2371;1924;6951
1817;2169;797;16;2534;2242;7758
1818;2375;886;14;2794;2545;8614
1819;2544;955;13;3130;2888;9530
1820;2819;1032;5;3512;3224;10592
1821;3041;1109;7;3906;3574;11637
1822;3344;1196;10;4357;3968;12875
1823;3586;1263;14;4765;4299;13927
1824;3929;1388;13;5148;4661;15139
1825;4258;1467;18;5324;5034;16101
1826;4497;1548;12;5589;5351;16997
1827;4753;1613;18;5737;5662;17783
1828;5042;1677;12;5952;6026;18709
1829;5330;1749;22;6064;6331;19496
1830;5316;1803;19;6172;6557;19867
1831;5577;1863;20;6035;6828;20323
1832;5775;1908;16;6062;7140;20901
1833;6042;1958;15;6098;7453;21566
1834;6200;2015;11;6255;7752;22233
1835;6399;2060;24;6319;8102;22904
1836;6578;2118;30;6397;8389;23512
1837;6831;2156;18;6440;8776;24221
1838;7118;2214;38;6329;9117;24816
1839;7265;2252;31;6128;9417;25093
1840;7506;2267;29;6022;9710;25534
1841;7661;2258;23;5871;10032;25845
1842;7890;2301;42;5654;10319;26206
1843;8006;2322;26;5493;10589;26436
1844;8283;2350;35;5403;10919;26990
1845;8616;2364;30;5254;11214;27478
1846;8801;2379;43;5065;11457;27745
1847;8743;2380;46;4848;11688;27705
1848;8759;2382;45;4741;11917;27844
1849;8827;2418;66;4763;12146;28220
1850;8673;2439;43;4818;12360;28333
1851;9008;2446;46;4834;12679;29013
1852;9242;2443;54;4800;13001;29540
1853;9380;2450;53;4712;13300;29895
1854;9559;2445;53;4664;13571;30292
1855;9690;2441;62;4544;13803;30540
1856;9658;2442;57;4594;14007;30758
1857;10033;2431;67;4640;14380;31551
1858;10106;2444;62;4592;14661;31865
1859;10138;2428;75;4617;14957;32215
1860;9812;2412;73;4707;15027;32031
1861;10077;2436;71;4870;15363;32817
1862;10186;2444;68;4828;15651;33177
1863;10322;2445;77;4986;16036;33866
1864;10570;2461;75;5042;16364;34512
1865;10717;2451;75;5081;16682;35006
1866;10801;2466;93;5026;16919;35305
1867;10645;2465;80;5123;17084;35397
1868;10935;2472;80;5153;17394;36034
1869;11114;2484;79;5260;17741;36678
1870;11336;2477;104;5230;18120;37267
1871;11287;2511;96;5292;18387;37573
1872;11166;2523;84;5336;18628;37737
1873;11257;2539;90;5400;18864;38150
1874;11359;2564;93;5403;19138;38557
1875;11542;2584;87;5460;19407;39080
1876;11681;2625;87;5427;19722;39542
1877;11810;2656;94;5481;20077;40118
1878;11951;2652;98;5506;20340;40547
1879;12094;2693;101;5522;20644;41054
1880;12012;2716;83;5540;20874;41225
1881;12068;2778;82;5544;21160;41632
1882;12158;2827;87;5561;21426;42059
1883;12224;2869;91;5526;21704;42414
1884;12343;2934;94;5589;22059;43019
1885;12273;3019;98;5555;22321;43266
1886;12360;3107;97;5551;22643;43758
1887;12360;3167;86;5581;22959;44153
1888;12461;3236;92;5652;23278;44719
1889;12582;3296;95;5640;23556;45169
1890;12651;3363;94;5679;23835;45622
1891;12637;3445;88;5702;24124;45996
1892;12586;3531;81;5729;24332;46259
1893;12530;3655;85;5864;24557;46691
1894;12525;3769;84;5922;24825;47125
1895;12515;3933;81;5922;25094;47545
1896;12486;4080;76;5980;25347;47969
1897;12455;4229;77;6127;25595;48483
1898;12423;4381;75;6250;25851;48980
1899;12435;4530;80;6385;26106;49536
1900;12419;4659;72;6459;26351;49960
1901;12412;4792;73;6619;26629;50525
1902;12304;4930;71;6730;26849;50884
1903;12269;5084;79;6821;27065;51318
1904;12201;5239;72;6980;27230;51722
1905;12148;5410;71;7099;27405;52133
1906;12116;5582;71;7147;27548;52464
1907;12036;5726;70;7191;27630;52653
1908;11953;5863;70;7214;27739;52839
1909;11770;6041;65;7144;27821;52841
1910;11702;6178;65;6993;27857;52795
1911;11575;6298;69;6741;27834;52517
1912;11445;6438;65;6639;27750;52337
1913;11276;6517;61;6244;27643;51741
1914;11163;6578;65;5628;27618;51052
1915;11010;6644;65;4846;27420;49985
1916;10881;6696;64;4734;27195;49570
1917;10778;6807;61;4553;26951;49150
1918;10584;6808;60;4174;26587;48213
1919;10252;6827;71;3815;26163;47128
1920;10044;6790;55;3260;25670;45819
1921;9847;6713;59;2267;25045;43931
1922;9499;6363;56;910;24379;41207
1923;9255;6130;55;751;23777;39968
1924;9009;5903;49;551;23212;38724
1925;8824;5717;51;419;22719;37730
1926;8615;5492;47;221;22196;36571
1927;8435;5287;50;254;21686;35712
1928;8213;5042;48;279;21092;34674
1929;7990;4791;49;225;20511;33566
1930;7760;4556;54;225;19882;32477
1931;7567;4301;47;155;19270;31340
1932;7395;4068;44;147;18734;30388
1933;7194;3870;46;178;18208;29496
1934;7015;3647;49;161;17634;28506
1935;6836;3438;48;191;17059;27572
1936;6657;3201;44;184;16487;26573
1937;6475;2954;42;167;15888;25526
