"";"complete";"only birth";"only death";"no birth/death";"incorrect";"alive"
0;0;0;0;1;0;1
1810;0;0;0;0;1;1
1811;122;45;0;142;94;403
1812;659;217;2;584;493;1955
1813;1079;319;1;974;855;3228
1814;1332;430;3;1556;1204;4525
1815;1695;569;4;2034;1581;5883
1816;1985;678;5;2370;1931;6969
1817;2203;791;5;2534;2249;7782
1818;2409;877;5;2792;2553;8636
1819;2578;951;5;3130;2897;9561
1820;2854;1032;2;3516;3232;10636
1821;3083;1109;6;3910;3582;11690
1822;3397;1188;2;4363;3980;12930
1823;3640;1264;8;4773;4311;13996
1824;3993;1378;1;5141;4675;15188
1825;4334;1454;1;5325;5047;16161
1826;4575;1540;1;5587;5365;17068
1827;4833;1609;6;5741;5678;17867
1828;5127;1673;4;5956;6044;18804
1829;5423;1744;8;6070;6353;19598
1830;5414;1798;4;6177;6581;19974
1831;5683;1858;4;6038;6849;20432
1832;5877;1915;4;6065;7162;21023
1833;6142;1969;1;6097;7476;21685
1834;6303;2015;2;6259;7776;22355
1835;6511;2060;8;6321;8126;23026
1836;6697;2116;13;6400;8414;23640
1837;6942;2167;13;6443;8802;24367
1838;7241;2215;11;6332;9145;24944
1839;7382;2256;16;6125;9447;25226
1840;7628;2271;15;6020;9739;25673
1841;7782;2269;16;5867;10059;25993
1842;8023;2300;18;5656;10347;26344
1843;8136;2319;17;5490;10618;26580
1844;8419;2355;19;5405;10948;27146
1845;8755;2368;17;5251;11248;27639
1846;8953;2373;24;5060;11493;27903
1847;8901;2377;24;4849;11724;27875
1848;8909;2386;26;4739;11955;28015
1849;8987;2412;28;4764;12184;28375
1850;8822;2437;24;4821;12397;28501
1851;9162;2446;31;4839;12715;29193
1852;9397;2448;37;4802;13042;29726
1853;9540;2452;35;4702;13343;30072
1854;9722;2442;34;4661;13615;30474
1855;9856;2437;36;4541;13847;30717
1856;9824;2434;40;4588;14053;30939
1857;10204;2423;44;4639;14427;31737
1858;10273;2439;41;4591;14710;32054
1859;10308;2422;49;4616;15003;32398
1860;9983;2404;52;4708;15073;32220
1861;10260;2422;52;4869;15408;33011
1862;10370;2439;51;4826;15697;33383
1863;10514;2444;54;4983;16079;34074
1864;10770;2448;55;5037;16408;34718
1865;10925;2443;57;5074;16728;35227
1866;11020;2458;56;5020;16967;35521
1867;10861;2457;57;5113;17134;35622
1868;11152;2471;61;5150;17444;36278
1869;11337;2477;61;5250;17791;36916
1870;11568;2466;62;5225;18169;37490
1871;11506;2504;65;5289;18437;37801
1872;11375;2528;65;5328;18677;37973
1873;11466;2543;65;5388;18915;38377
1874;11573;2559;67;5400;19188;38787
1875;11758;2585;66;5455;19455;39319
1876;11905;2626;68;5424;19774;39797
1877;12043;2656;69;5482;20132;40382
1878;12185;2656;67;5505;20393;40806
1879;12320;2693;66;5520;20700;41299
1880;12228;2721;67;5536;20930;41482
1881;12290;2783;63;5540;21220;41896
1882;12389;2825;68;5561;21485;42328
1883;12464;2870;67;5524;21765;42690
1884;12591;2933;70;5586;22121;43301
1885;12526;3019;68;5552;22386;43551
1886;12602;3113;67;5547;22710;44039
1887;12597;3183;68;5571;23025;44444
1888;12704;3244;72;5649;23345;45014
1889;12834;3306;72;5637;23625;45474
1890;12904;3369;70;5678;23907;45928
1891;12883;3459;69;5704;24198;46313
1892;12830;3551;65;5725;24407;46578
1893;12776;3675;64;5861;24635;47011
1894;12773;3782;62;5920;24904;47441
1895;12767;3946;59;5922;25172;47866
1896;12739;4107;58;5981;25426;48311
1897;12710;4254;57;6124;25678;48823
1898;12675;4416;53;6246;25938;49328
1899;12688;4561;55;6386;26194;49884
1900;12670;4686;52;6458;26442;50308
1901;12663;4825;49;6620;26723;50880
1902;12549;4954;55;6729;26953;51240
1903;12519;5115;54;6819;27174;51681
1904;12447;5274;54;6980;27343;52098
1905;12392;5446;50;7102;27524;52514
1906;12358;5613;51;7146;27673;52841
1907;12275;5769;51;7196;27761;53052
1908;12188;5912;49;7215;27872;53236
1909;12002;6085;47;7145;27957;53236
1910;11930;6235;47;6995;27994;53201
1911;11804;6351;45;6745;27974;52919
1912;11666;6495;45;6643;27891;52740
1913;11495;6567;49;6256;27790;52157
1914;11379;6641;47;5621;27765;51453
1915;11226;6703;44;4850;27568;50391
1916;11091;6768;44;4735;27346;49984
1917;10981;6878;45;4550;27106;49560
1918;10782;6882;47;4168;26746;48625
1919;10456;6901;47;3814;26322;47540
1920;10236;6875;41;3245;25825;46222
1921;10036;6800;40;2253;25203;44332
1922;9682;6455;37;900;24537;41611
1923;9433;6215;33;742;23932;40355
1924;9179;5987;33;540;23365;39104
1925;8992;5798;34;411;22868;38103
1926;8779;5574;33;215;22341;36942
1927;8598;5367;34;249;21830;36078
1928;8375;5124;31;260;21230;35020
1929;8148;4865;29;219;20640;33901
1930;7915;4631;31;216;20002;32795
1931;7717;4371;29;148;19387;31652
1932;7540;4136;27;140;18849;30692
1933;7337;3936;27;169;18319;29788
1934;7155;3710;26;150;17741;28782
1935;6969;3498;28;179;17159;27833
1936;6787;3255;23;170;16583;26818
1937;6600;3002;23;161;15977;25763
1938;6416;2719;26;185;15321;24667
1939;6267;2421;24;218;14700;23630
1940;6099;2026;23;154;13908;22210
1941;5856;1760;24;101;13273;21014
1942;5627;1532;22;166;12606;19953
1943;5402;1161;24;119;11867;18573
1944;5156;874;23;99;11260;17412
1945;4892;696;20;65;10695;16368
1946;4559;464;19;131;9941;15114
1947;4389;129;17;13;9376;13924
1948;4199;87;16;18;9004;13324
1949;4027;49;16;11;8636;12739
1950;3804;31;15;11;8219;12080
1951;3619;0;17;0;7811;11447
1952;3453;0;13;0;7470;10936
1953;3298;0;12;0;7139;10449
1954;3114;0;11;0;6791;9916
1955;2971;0;9;0;6381;9361
1956;2803;0;10;0;6039;8852
1957;2641;0;10;0;5720;8371
1958;2445;0;8;0;5402;7855
1959;2258;0;8;0;5046;7312
1960;2080;0;10;0;4714;6804
1961;1911;0;8;0;4350;6269
1962;1760;0;8;0;4057;5825
1963;1585;0;8;0;3711;5304
1964;1375;0;8;0;3315;4698
1965;1215;0;6;0;2943;4164
1966;1021;0;4;0;2546;3571
1967;845;0;5;0;2173;3023
1968;667;0;4;0;1790;2461
1969;467;0;3;0;1400;1870
1970;357;0;2;0;879;1238
1971;180;0;1;0;432;613
1972;0;0;0;0;1;1
1973;0;0;0;0;1;1
1974;0;0;0;0;1;1
1975;0;0;0;0;1;1
1976;0;0;0;0;1;1
1977;0;0;0;0;1;1
1978;0;0;0;0;1;1
1979;0;0;0;0;1;1
1980;0;0;0;0;1;1
1981;0;0;0;0;1;1
1982;0;0;0;0;1;1
1983;0;0;0;0;1;1
1984;0;0;0;0;1;1
1985;0;0;0;0;1;1
1986;0;0;0;0;1;1
1987;0;0;0;0;1;1
1988;0;0;0;0;1;1
1989;0;0;0;0;1;1
1990;0;0;0;0;1;1
1991;0;0;0;0;1;1
1992;0;0;0;0;1;1
1993;0;0;0;0;1;1
1994;0;0;0;0;1;1
1995;0;0;0;0;1;1
