"";"complete";"only birth";"only death";"no birth/death";"incorrect";"alive"
0;0;0;0;51397;0;51397
1810;1;0;0;2;0;3
1811;149;46;494;537;143;1369
1812;898;205;2445;2199;552;6299
1813;1550;352;3766;2853;918;9439
1814;1970;502;4696;3215;1198;11581
1815;2586;680;5390;3630;1491;13777
1816;3110;847;5996;3683;1752;15388
1817;3566;1003;6512;3553;1983;16617
1818;4025;1126;6851;3474;2166;17642
1819;4487;1282;7301;3655;2389;19114
1820;5027;1454;7784;3727;2624;20616
1821;5619;1602;8260;3800;2871;22152
1822;6273;1773;8865;3979;3133;24023
1823;6853;1948;9357;3975;3336;25469
1824;7532;2160;9861;4050;3554;27157
1825;8202;2340;10415;3972;3834;28763
1826;8777;2513;10962;4047;4059;30358
1827;9352;2657;11353;4013;4226;31601
1828;10045;2823;11749;4016;4481;33114
1829;10647;2984;12095;4050;4737;34513
1830;10989;3128;12418;4089;4840;35464
1831;11502;3271;12633;3943;5033;36382
1832;12012;3412;12973;3989;5202;37588
1833;12587;3548;13016;3928;5391;38470
1834;13070;3684;13331;4058;5582;39725
1835;13622;3820;13553;4158;5832;40985
1836;14102;3988;13736;4160;6049;42035
1837;14655;4141;13937;4100;6301;43134
1838;15336;4308;14076;4085;6495;44300
1839;15816;4431;14141;3929;6701;45018
1840;16406;4553;14241;3894;6897;45991
1841;16926;4650;14250;3873;7121;46820
1842;17463;4750;14272;3804;7336;47625
1843;17921;4843;14281;3724;7501;48270
1844;18520;4947;14293;3667;7715;49142
1845;19110;5010;14212;3602;7903;49837
1846;19628;5067;14187;3453;8068;50403
1847;19817;5139;13964;3295;8179;50394
1848;20136;5217;13699;3273;8258;50583
1849;20529;5311;13501;3285;8368;50994
1850;20703;5387;12909;3252;8386;50637
1851;21388;5443;12861;3148;8623;51463
1852;21918;5511;12813;2916;8851;52009
1853;22371;5572;12706;2774;9039;52462
1854;22806;5635;12513;2782;9205;52941
1855;23192;5667;12347;2655;9343;53204
1856;23444;5692;12027;2616;9429;53208
1857;24124;5741;11917;2659;9711;54152
1858;24411;5792;11735;2622;9898;54458
1859;24696;5830;11425;2588;10066;54605
1860;24468;5819;10941;2542;10035;53805
1861;25051;5848;10801;2613;10249;54562
1862;25454;5853;10635;2558;10428;54928
1863;25939;5901;10549;2624;10664;55677
1864;26489;5959;10466;2619;10863;56396
1865;26953;5995;10268;2617;11058;56891
1866;27336;6054;10138;2522;11161;57211
1867;27318;6049;9801;2529;11233;56930
1868;27846;6069;9687;2563;11456;57621
1869;28250;6147;9539;2628;11724;58288
1870;28771;6154;9378;2608;11991;58902
1871;28911;6244;9242;2586;12139;59122
1872;29071;6331;9058;2655;12192;59307
1873;29416;6396;8972;2609;12267;59660
1874;29760;6442;8886;2669;12490;60247
1875;30170;6553;8757;2666;12670;60816
1876;30546;6652;8612;2676;12869;61355
1877;30913;6792;8500;2716;13058;61979
1878;31295;6863;8395;2756;13200;62509
1879;31668;7028;8240;2753;13376;63065
1880;31722;7155;8141;2690;13488;63196
1881;32031;7324;8080;2658;13658;63751
1882;32311;7512;8026;2608;13831;64288
1883;32556;7712;8006;2589;13997;64860
1884;32851;7983;7962;2603;14156;65555
1885;32978;8280;7904;2645;14294;66101
1886;33175;8650;7790;2695;14466;66776
1887;33302;8986;7766;2614;14582;67250
1888;33546;9324;7752;2614;14714;67950
1889;33785;9635;7700;2516;14839;68475
1890;33928;10041;7743;2477;14940;69129
1891;34040;10474;7731;2466;15024;69735
1892;33991;10905;7759;2410;15111;70176
1893;33911;11408;7718;2459;15222;70718
1894;33921;11950;7733;2434;15346;71384
1895;33925;12531;7775;2431;15442;72104
1896;33857;13131;7879;2433;15553;72853
1897;33776;13755;7993;2487;15611;73622
1898;33703;14445;8059;2588;15662;74457
1899;33633;15120;8148;2613;15745;75259
1900;33510;15783;8231;2703;15800;76027
1901;33415;16487;8267;2793;15899;76861
1902;33232;17188;8347;2861;15935;77563
1903;33083;17932;8445;2968;15963;78391
1904;32850;18675;8565;3103;16018;79211
1905;32699;19408;8688;3221;16000;80016
1906;32495;20157;8787;3259;15952;80650
1907;32210;20816;8866;3375;15959;81226
1908;31996;21551;8942;3514;15902;81905
1909;31615;22167;8964;3527;15847;82120
1910;31262;22756;9003;3533;15782;82336
1911;30871;23178;9046;3442;15645;82182
1912;30525;23598;9081;3474;15488;82166
1913;30086;23941;9145;3165;15279;81616
1914;29743;24268;9175;2827;15185;81198
1915;29339;24490;9206;2338;14880;80253
1916;28917;24730;9259;2386;14647;79939
1917;28496;24811;9260;2441;14432;79440
1918;27996;24723;9250;2254;14129;78352
1919;27258;24578;9226;2117;13773;76952
1920;26689;24218;9207;1881;13424;75419
1921;26159;23475;9260;1518;13018;73430
1922;25489;22039;9248;750;12592;70118
1923;24941;21091;9155;552;12215;67954
1924;24360;20181;9092;437;11918;65988
1925;23919;19358;9005;371;11621;64274
1926;23428;18439;8881;291;11322;62361
1927;22925;17583;8784;306;11066;60664
1928;22411;16627;8651;317;10741;58747
1929;21891;15628;8498;288;10412;56717
1930;21341;14655;8320;282;10070;54668
1931;20866;13632;8185;246;9697;52626
1932;20401;12790;7983;237;9366;50777
1933;19865;12003;7829;260;9104;49061
