id_certificate_parents,id_certificate_partners,family_line,levenshtein_total_bride,levenshtein_max_bride,levenshtein_total_groom,levenshtein_max_groom,matched_names_bride,number_names_mother,number_names_bride,matched_names_groom,number_names_father,number_names_groom,year_diff
10,80298,21,0,0,0,0,2,2,2,1,1,1,30
10,83576,22,0,0,0,0,1,1,1,1,1,1,26
100,44402,22,1,1,0,0,1,1,1,1,1,1,30
1000,53934,21,0,0,0,0,2,2,2,1,1,1,33
10000,40570,21,0,0,0,0,1,1,1,1,1,1,26
100001,88604,21,1,0,0,0,1,1,1,1,1,1,23
100001,57325,22,0,0,0,0,2,2,2,1,1,1,32
100002,99073,21,0,0,0,0,1,1,1,1,1,1,23
100003,31480,21,0,0,0,0,1,1,1,1,1,1,41
100005,21663,21,0,0,0,0,2,2,2,1,1,1,36
100005,11836,22,0,0,0,0,1,1,1,1,1,1,34
100007,91446,21,0,0,0,0,1,1,1,1,1,1,30
100007,19460,22,0,0,0,0,1,1,1,2,2,2,30
100008,71667,21,0,0,2,2,1,1,1,2,2,2,33
10001,27042,22,0,0,0,0,1,1,1,2,2,2,32
100011,62272,21,0,0,0,0,1,1,1,1,1,1,39
100011,99931,22,0,0,0,0,1,1,1,1,1,1,31
100013,92672,21,0,0,0,0,2,2,2,1,1,1,24
100013,95394,22,0,0,0,0,1,1,1,1,1,1,24
100014,43231,21,0,0,0,0,1,1,1,2,2,2,35
100015,58104,21,0,0,0,0,1,1,1,2,2,2,27
100017,2903,22,0,0,1,0,1,1,1,1,1,1,25
100019,84034,21,0,0,0,0,2,2,2,1,1,1,32
10002,71871,22,0,0,0,0,1,1,1,2,2,2,34
100020,81003,21,0,0,0,0,1,1,1,2,2,2,52
100020,47105,22,0,0,0,0,2,2,2,2,2,2,53
100021,13563,21,0,0,0,0,3,3,3,3,4,3,44
100022,58007,21,0,0,0,0,1,1,1,1,1,1,41
100023,11877,22,0,0,0,0,1,1,1,2,2,2,37
100024,7789,21,0,0,0,0,1,1,1,2,2,2,41
100024,15736,22,0,0,0,0,3,3,3,3,3,3,31
100026,56285,22,0,0,0,0,1,1,1,1,1,1,36
100027,25095,21,0,0,0,0,1,1,1,1,1,1,31
100027,24856,22,0,0,0,0,1,1,1,1,1,1,27
100028,7666,21,0,0,0,0,1,1,1,1,1,1,33
100028,70655,22,0,0,0,0,1,1,1,2,2,2,41
100033,4494,21,0,0,0,0,1,1,1,1,1,1,36
100034,72893,21,0,0,0,0,2,2,2,1,1,1,46
100034,13826,22,0,0,0,0,2,2,2,1,1,1,33
100035,60206,21,0,0,0,0,2,2,2,2,2,2,28
100036,86830,22,0,0,0,0,2,2,2,2,2,2,31
100037,38289,22,0,0,0,0,2,2,2,1,1,1,52
100038,94160,21,0,0,1,0,1,1,1,1,1,1,29
100039,29193,21,2,0,0,0,1,1,1,1,1,1,29
100039,40276,22,0,0,0,0,1,1,1,1,1,1,31
10004,23135,22,2,2,2,1,1,1,1,2,2,2,26
100040,1825,21,0,0,0,0,2,2,2,3,3,3,24
100040,39013,22,0,0,2,1,1,1,1,1,1,1,43
100041,82091,22,0,0,0,0,1,1,1,1,1,1,78
100042,37075,21,0,0,0,0,1,1,1,1,1,1,52
100042,85619,22,0,0,0,0,2,2,2,1,1,1,34
100044,68988,21,0,0,0,0,1,1,1,2,2,2,28
