"type";"man_id";"woman_id";"child_id";"exception"
3;448;449;447.0;"'NoneType' object is not subscriptable"
3;676;677;675.0;"'NoneType' object is not subscriptable"
3;958;959;957.0;"'NoneType' object is not subscriptable"
2;1105;1106;1104.0;"'NoneType' object is not subscriptable"
3;1108;1109;1107.0;"'NoneType' object is not subscriptable"
3;1300;1301;1299.0;"'NoneType' object is not subscriptable"
2;1369;1370;1368.0;"'NoneType' object is not subscriptable"
3;1582;1583;1581.0;"'NoneType' object is not subscriptable"
3;1720;1721;1719.0;"'NoneType' object is not subscriptable"
3;1762;1763;1761.0;"'NoneType' object is not subscriptable"
2;2401;2402;2400.0;"'NoneType' object is not subscriptable"
3;2404;2405;2403.0;"'NoneType' object is not subscriptable"
3;2422;2423;2421.0;"'NoneType' object is not subscriptable"
3;2470;2471;2469.0;"'NoneType' object is not subscriptable"
2;2485;2486;2484.0;"'NoneType' object is not subscriptable"
2;2719;2720;2718.0;"'NoneType' object is not subscriptable"
3;2722;2723;2721.0;"'NoneType' object is not subscriptable"
2;2737;2738;2736.0;"'NoneType' object is not subscriptable"
2;2761;2762;2760.0;"'NoneType' object is not subscriptable"
2;2959;2960;2958.0;"'NoneType' object is not subscriptable"
2;3427;3428;3426.0;"'NoneType' object is not subscriptable"
3;3430;3431;3429.0;"'NoneType' object is not subscriptable"
2;3439;3440;3438.0;"'NoneType' object is not subscriptable"
3;3484;3485;3483.0;"'NoneType' object is not subscriptable"
3;3520;3521;3519.0;"'NoneType' object is not subscriptable"
2;3721;3722;3720.0;"'NoneType' object is not subscriptable"
2;3739;3740;3738.0;"'NoneType' object is not subscriptable"
2;3979;3980;3978.0;"'NoneType' object is not subscriptable"
2;4117;4118;4116.0;"'NoneType' object is not subscriptable"
2;4327;4328;4326.0;"'NoneType' object is not subscriptable"
3;4330;4331;4329.0;"'NoneType' object is not subscriptable"
3;4528;4529;4527.0;"'NoneType' object is not subscriptable"
3;4534;4535;4533.0;"'NoneType' object is not subscriptable"
2;5005;5006;5004.0;"'NoneType' object is not subscriptable"
3;5008;5009;5007.0;"'NoneType' object is not subscriptable"
2;5305;5306;5304.0;"'NoneType' object is not subscriptable"
3;5308;5309;5307.0;"'NoneType' object is not subscriptable"
2;5569;5570;5568.0;"'NoneType' object is not subscriptable"
2;6073;6074;6072.0;"'NoneType' object is not subscriptable"
2;6097;6098;6096.0;"'NoneType' object is not subscriptable"
2;6133;6134;6132.0;"'NoneType' object is not subscriptable"
2;6565;6566;6564.0;"'NoneType' object is not subscriptable"
2;6901;6902;6900.0;"'NoneType' object is not subscriptable"
2;7135;7136;7134.0;"'NoneType' object is not subscriptable"
3;7138;7139;7137.0;"'NoneType' object is not subscriptable"
3;7594;7595;7593.0;"'NoneType' object is not subscriptable"
3;7648;7649;7647.0;"'NoneType' object is not subscriptable"
3;8350;8351;8349.0;"'NoneType' object is not subscriptable"
2;8701;8702;8700.0;"'NoneType' object is not subscriptable"
2;9175;9176;9174.0;"'NoneType' object is not subscriptable"
3;9178;9179;9177.0;"'NoneType' object is not subscriptable"
2;9391;9392;9390.0;"'NoneType' object is not subscriptable"
2;9775;9776;9774.0;"'NoneType' object is not subscriptable"
3;10048;10049;10047.0;"'NoneType' object is not subscriptable"
2;10063;10064;10062.0;"'NoneType' object is not subscriptable"
3;10678;10679;10677.0;"'NoneType' object is not subscriptable"
3;10792;10793;10791.0;"'NoneType' object is not subscriptable"
3;11116;11117;11115.0;"'NoneType' object is not subscriptable"
3;11212;11213;11211.0;"'NoneType' object is not subscriptable"
3;11644;11645;11643.0;"'NoneType' object is not subscriptable"
2;11797;11798;11796.0;"'NoneType' object is not subscriptable"
2;12379;12380;12378.0;"'NoneType' object is not subscriptable"
3;12382;12383;12381.0;"'NoneType' object is not subscriptable"
2;12535;12536;12534.0;"'NoneType' object is not subscriptable"
3;12700;12701;12699.0;"'NoneType' object is not subscriptable"
3;12814;12815;12813.0;"'NoneType' object is not subscriptable"
3;12940;12941;12939.0;"'NoneType' object is not subscriptable"
2;12961;12962;12960.0;"'NoneType' object is not subscriptable"
2;13081;13082;13080.0;"'NoneType' object is not subscriptable"
3;13084;13085;13083.0;"'NoneType' object is not subscriptable"
2;13471;13472;13470.0;"'NoneType' object is not subscriptable"
2;13519;13520;13518.0;"'NoneType' object is not subscriptable"
3;13522;13523;13521.0;"'NoneType' object is not subscriptable"
1;13992;13995;"";"'NoneType' object is not subscriptable"
3;13996;13997;13995.0;"'NoneType' object is not subscriptable"
3;14158;14159;14157.0;"'NoneType' object is not subscriptable"
3;14230;14231;14229.0;"'NoneType' object is not subscriptable"
3;14512;14513;14511.0;"string index out of range"
2;14539;14540;14538.0;"'NoneType' object is not subscriptable"
3;14608;14609;14607.0;"'NoneType' object is not subscriptable"
3;14902;14903;14901.0;"'NoneType' object is not subscriptable"
2;14965;14966;14964.0;"'NoneType' object is not subscriptable"
2;15055;15056;15054.0;"'NoneType' object is not subscriptable"
3;15058;15059;15057.0;"'NoneType' object is not subscriptable"
3;15100;15101;15099.0;"string index out of range"
3;15334;15335;15333.0;"'NoneType' object is not subscriptable"
3;15610;15611;15609.0;"'NoneType' object is not subscriptable"
2;15865;15866;15864.0;"'NoneType' object is not subscriptable"
3;16102;16103;16101.0;"'NoneType' object is not subscriptable"
3;16378;16379;16377.0;"'NoneType' object is not subscriptable"
3;16390;16391;16389.0;"'NoneType' object is not subscriptable"
3;16576;16577;16575.0;"'NoneType' object is not subscriptable"
3;16600;16601;16599.0;"'NoneType' object is not subscriptable"
2;17221;17222;17220.0;"'NoneType' object is not subscriptable"
2;17233;17234;17232.0;"'NoneType' object is not subscriptable"
3;17452;17453;17451.0;"'NoneType' object is not subscriptable"
3;17470;17471;17469.0;"'NoneType' object is not subscriptable"
2;17527;17528;17526.0;"'NoneType' object is not subscriptable"
3;17608;17609;17607.0;"'NoneType' object is not subscriptable"
