"uuid";"unique_person_id";"role"
"d96541a8-717d-6f6e-013d-99efd43705ad";0;"parent"
"a95c6a54-5a0a-7f46-a3bd-c72d8c26c67c";0;"partner"
"6e7bfc35-d68c-f9d7-68b6-84c42da4733e";0;"partner"
"462f94b1-8751-71f7-17a3-3a23a7192477";0;"partner"
"d958f188-1d64-43d5-ff20-b8435a006983";0;"partner"
"35679a89-88ca-4c03-9050-a15a7f60b22c";1;"parent"
"53472344-bf67-8101-938a-f8e0a7ec1c42";1;"partner"
"3f24d636-17b9-7478-dd25-6d5ebe117c59";1;"partner"
"5d83f386-682b-d12d-469c-f54d86737339";1;"partner"
"21a27fdc-217a-c47a-06f6-f3106376c3ae";1;"partner"
"ee21c8c5-cbf0-d7ba-1efe-97ffce221e94";2;"parent"
"102c394e-18b7-b1e3-b681-8a5de20e8a1e";2;"partner"
"9d4401ce-31e3-d26e-da2a-4ebee5c170bc";2;"partner"
"4f0d9541-e224-531b-832d-0b830f52c462";3;"parent"
"86b6aff0-7265-5afb-bf22-3fcc12ccad2b";3;"partner"
"f2a1cd73-8629-9289-47a2-9f7a3c4c2940";3;"partner"
"fc564934-a111-197c-11cb-2ada6c8f3840";4;"parent"
"2c54c113-d740-a1fb-e7ce-668b4be352f3";4;"partner"
"1c8d07f0-0a9e-1a66-6ac9-becb53bc43a6";4;"partner"
"2306f92e-b85a-f9e0-a2e3-5b91e4d24abb";4;"partner"
"e6b82ac4-97f3-ac81-4562-7c02c5d95ccd";5;"parent"
"4f417ae4-967f-98b3-4fc2-152213ef7ade";5;"partner"
"65b66f58-b9d8-43ba-667f-3fbb7fe286c6";5;"partner"
"002a02eb-61f9-5b0d-932d-0a4f38674a1a";5;"partner"
"96b0c446-85ed-2605-0121-146d36125522";6;"parent"
"674c0d89-624b-90e8-3891-5020ab51ea44";6;"partner"
"87f5d3e8-ed3c-fc0d-eb60-3124a2cb46d1";6;"partner"
"949cad84-27e8-e35d-e9c4-7994b962b5c0";6;"partner"
"5c83616a-3824-7eb0-90a4-bfa348622b60";6;"partner"
"7410fd8b-23de-03f6-d6cd-f82321477483";6;"partner"
"6ec972df-2967-4f77-479b-20299d5fe464";7;"parent"
"484fbd70-71cf-6c45-6d3c-8ec80d2cf31c";7;"partner"
"0034c3b0-8f0f-283c-cdd2-e68e23679795";7;"partner"
"4d08e2ba-4631-ba8d-0ca6-bb637ee67767";7;"partner"
"91d807c8-ac81-ec7a-d360-e5ec7dd4a1b8";7;"partner"
"f3e0d296-e174-d6ed-ad2c-92820dcf5b43";7;"partner"
"63973b47-1ae0-a377-e9ec-97409e2a00e3";8;"parent"
"3bfd990b-2238-1a0c-c5cf-27aa2766201d";8;"partner"
"bfdc9f47-b463-4f4e-dc48-820933071eda";8;"partner"
"92bd0c29-ba16-f563-9471-d205dc6f8226";8;"partner"
"61cb660a-2250-a7ce-3ad2-b9951d2106b0";8;"partner"
"d5db7db2-9949-a341-48ed-1f120409981f";8;"partner"
"b4c8c2ad-a2aa-244b-ba79-ea7f84ea782a";8;"partner"
"4f2f803c-1b41-724f-ef41-28cafff2c5ef";8;"partner"
"ca4ea53b-724a-35cd-0e1c-ad3484c5cd35";9;"parent"
"6d4e1406-0799-25b1-c8e9-54224e6d538e";9;"partner"
"7f7339c5-259c-8526-9dc9-1e848d280971";9;"partner"
"6dd09a99-e6c1-05c2-98da-adf1995a0362";9;"partner"
"6a7d0044-a7dd-00a5-dd85-dd58cfc33c00";9;"partner"
"0650312d-2fd4-b587-5cbb-2c4ca4676795";9;"partner"
"8bdfb8c4-d54e-bf45-3432-91e80a30f29a";9;"partner"
"80633aeb-9803-9d49-f1ef-967be73834af";9;"partner"
"6ffcfd6a-e47c-986c-5229-95e0e7c44a14";10;"parent"
"a055dc7d-ae09-dd47-6222-8d5037ef2924";10;"partner"
"6fa8fe83-4281-ebad-86e4-f24c3c154bc9";10;"partner"
"3bd1e716-8e16-ab5c-2b9d-c628f923ba7e";11;"parent"
"840c8734-0c0f-84fe-7d29-4e4ae4998edd";11;"partner"
"e9830f88-3ab1-2516-d12b-5417c55d1cde";11;"partner"
"c1b81e43-b20b-f27a-e301-84836eac6fe0";12;"parent"
"290ff848-a8a5-6221-8fae-70ab7f552d74";12;"partner"
"55725dd1-0712-a044-93c6-050fbb49363d";12;"partner"
"2d096d96-0c40-726a-eea2-25c0fbce522e";13;"parent"
"aaca1fda-8c76-cc78-1e39-7e862e771e94";13;"partner"
"41bf1dc8-c80e-5f40-5672-0c3fd15fa174";13;"partner"
"01eb983f-0b91-9970-f445-fb1fd67118f6";14;"parent"
"ad9b6d44-db47-2146-6f58-85a5c2ca4c31";14;"partner"
"29001912-1a7f-0bec-f5ff-e399464655bf";14;"partner"
"9bace6e2-5c21-2305-8335-974a929058c9";14;"partner"
"a1adb7c8-44a7-1e1b-8b61-4fc8da974ca8";14;"partner"
"f1f5b976-cd88-ed07-e26b-55f925165c06";15;"parent"
