"";"first_letters"
"bb";4340
"ss";4241
"sb";4182
"bs";4136
"sk";3427
"bk";3409
"ks";3373
"kb";3370
"sh";3026
"bh";3020
"hs";2983
"kk";2968
"hb";2810
"sv";2671
"bv";2624
"vb";2599
"vs";2586
"hk";2482
"kh";2456
"vk";2235
"kv";2181
"ws";2164
"hh";2123
"bl";2103
"ls";2103
"rb";2098
"sw";2078
"hv";2025
"sl";2013
"sr";2002
"ms";1922
"rs";1921
"bw";1903
"lb";1890
"br";1881
"vv";1878
"sm";1863
"mb";1853
"wb";1835
"bm";1818
"vh";1811
"ds";1777
"db";1775
"sd";1757
"lk";1733
"kl";1730
"mk";1699
"bd";1672
"wk";1624
"kw";1605
"km";1562
"sg";1558
"kr";1555
"bg";1551
"ps";1509
"gs";1507
"gb";1487
"rk";1444
"kd";1441
"pb";1432
"sp";1406
"dk";1394
"bp";1374
"gk";1371
"lh";1355
"hl";1349
"hm";1345
"rh";1327
"wh";1322
"vw";1293
"hr";1278
"mv";1277
"hw";1276
"hd";1269
"dh";1268
"rv";1266
"lv";1246
"mh";1241
"kp";1223
"pk";1211
"kg";1194
"vr";1192
"vl";1188
"ph";1184
"vd";1178
"vm";1176
"hg";1138
"gh";1088
"hp";1071
"wl";1065
"wv";1047
"dd";1035
"dv";1013
"lw";1011
"nb";1006
"ww";1002
"bo";996
"vg";992
"st";978
"mm";947
"lr";936
"bt";936
"ns";935
"pv";933
"wm";932
"mw";931
"os";923
"ll";916
"gv";915
"se";904
"vp";888
"ml";888
"rl";875
"tb";874
"ob";872
"ts";866
"dr";862
"rr";855
"rw";854
"es";835
"ld";819
"mr";814
"rd";813
"md";812
"wd";811
"be";808
"so";808
"dl";805
"rm";804
"dm";803
"wr";787
"lg";778
"ok";776
"lm";776
"sn";769
"nk";768
"gl";763
"ko";753
"ek";748
"eb";744
"bn";739
"kt";732
"dp";720
"wg";716
"pl";706
"pd";700
"bj";698
"tk";697
"mg";693
"gm";692
"lp";686
"dg";679
"ke";676
"oh";673
"ho";672
"gw";671
"sj";665
"dw";663
"rp";659
"sa";650
"js";646
"pm";643
"wp";637
"kn";635
"nh";634
"eh";626
"pr";617
"pp";616
"jb";603
"gr";603
"rg";594
"pw";594
"gd";593
"bf";590
"ov";590
"gg";584
"ba";584
"kj";579
"he";570
"ht";566
"fs";564
"ab";562
"mp";551
"fb";547
"th";543
"tv";541
"ak";530
"nv";528
"as";527
"vt";526
"ev";515
"hn";510
"vo";509
"pg";508
"vn";503
"jh";502
"jk";495
"hj";492
"wt";490
"gp";489
"ve";483
"ka";476
"tl";461
"tm";459
"lo";456
"me";449
"sf";448
"nl";448
"nm";445
"ol";442
"wn";442
"ha";436
"od";424
"jv";420
"hf";417
"wo";416
"lt";413
"le";411
"em";407
"nr";403
"tw";402
"or";396
"ah";395
"av";392
"va";390
"nw";389
"mt";379
"re";378
"om";378
"go";377
"kf";377
"ro";373
"ew";372
"fh";372
"vj";369
"jd";366
"ar";365
"el";362
"op";360
"do";360
"ow";358
"tr";355
"nd";354
"wj";353
"er";352
"po";352
"mn";350
"fk";349
"ge";349
"de";339
"ln";335
"mo";334
"dt";334
"la";332
"np";332
"tg";330
"rt";330
"we";323
"dn";321
"fv";320
"jl";318
"td";314
"jr";314
"mj";311
"pe";296
"dj";295
"jw";292
"og";292
"rn";291
"vf";289
"ng";289
"jm";287
"ma";285
"lf";285
"wa";284
"ed";284
"pt";281
"am";281
"jp";279
"eg";275
"gt";275
"wf";265
"ee";262
"fp";260
"pn";259
"ra";259
"ad";255
"tp";252
"fm";252
"pj";249
"aw";249
"fl";247
"fw";246
"df";242
"jg";240
"lj";239
"ep";235
"oo";232
"gj";232
"al";231
"gn";230
"rj";227
"fr";222
"te";218
"fg";216
"rf";211
"no";211
"fd";210
"nn";209
"ap";208
"ga";207
"tt";206
"da";202
"ne";201
"jj";192
"to";192
"on";185
"en";184
"pa";176
"nt";176
"ot";174
"ag";173
"oe";168
"jo";166
"oj";165
"gf";162
"mf";160
"ta";152
"tj";152
"ft";148
"tn";148
"jn";148
"jt";145
"ea";143
"nj";139
"et";132
"eo";131
"ao";129
"pf";129
"ki";124
"us";122
"fo";121
"na";121
"of";121
"uk";120
"at";120
"ae";118
"aa";116
"ib";116
"oa";114
"bi";114
"fn";109
"je";105
"ef";105
"ih";104
"aj";102
"nf";100
"bu";99
"si";95
"uh";93
"ff";92
"ej";92
"ik";90
"ku";90
"fa";89
"jf";88
"tf";87
"ja";85
"fe";82
"fj";81
"is";80
"ub";80
"an";78
"hi";76
"su";71
"iw";65
"af";64
"ul";63
"uv";62
"vi";59
"iv";58
"ur";57
"uw";57
"ru";56
"hu";52
"wi";49
"mu";49
"sy";47
"vu";46
"ri";46
"mi";45
"im";40
"um";40
"ys";40
"ud";40
"di";38
"ip";38
"qs";37
"ug";36
"oi";36
"wu";35
"id";35
"ig";35
"hy";35
"gi";34
"tu";33
"ir";33
"lu";33
"du";32
"li";32
"gu";30
"il";30
"up";29
"bq";29
"pu";26
"ly";26
"uj";24
"un";24
"pi";24
"by";23
"my";22
"kq";22
"yg";22
"yb";21
"yv";20
"fu";20
"ti";20
"vy";19
"yr";18
"ue";17
"it";17
"ua";17
"yk";17
"yh";17
"ji";17
"qb";17
"fi";16
"lq";16
"ut";16
"ie";15
"eu";15
"sq";15
"ij";14
"ia";14
"nu";14
"qv";14
"dq";14
"ny";13
"if";13
"qm";13
"ai";12
"io";12
"au";12
"qk";12
"vq";12
"mq";12
"dy";11
"yl";11
"ni";11
"qg";11
"wy";11
"ju";10
"uo";10
"yw";10
"py";10
"ky";10
"wq";10
"rq";10
"qd";9
"fy";9
"nq";9
"in";9
"qh";9
"jq";9
"yp";9
"gq";9
"aq";7
"gy";7
"qw";7
"ei";7
"qt";7
"ty";7
"ym";6
"ry";6
"hq";6
"yj";6
"ou";6
"yo";5
"yn";5
"tq";5
"qj";4
"pq";4
"yq";4
"jy";4
"qp";4
"yd";4
"ey";4
"qo";3
"ye";3
"oy";3
"ql";3
"yt";3
"qe";2
"uy";2
"yf";2
"qr";2
"fq";2
"qq";2
"uf";2
"qn";1
"uu";1
"eq";1
"qf";1
"ya";1
"ay";1
"ii";1
" k";1
