"parent_uuid";"partner_uuid";"sex"
"72c35102-e685-6f21-4abf-ca3b60767aa6";"674b789b-605b-bf5e-56d0-97b2a662a645";"m"
"85e3063d-3da6-3275-0783-032b6c12a58d";"a8fffc57-14a1-7dc7-0d5a-ff2c03d22620";"v"
"80ada547-e184-9372-bd75-7c472dc5d5f5";"07cbc4f8-eb06-e284-510f-228d2c319058";"m"
"84d65d17-1d60-48b3-68d2-30c63ffe47ff";"adfe97bd-581e-63f4-4a29-ab4794136fba";"v"
"a7f57c4f-aa0b-01e7-c07d-3fab32356e01";"07cbc4f8-eb06-e284-510f-228d2c319058";"m"
"501f413f-3b44-43aa-622c-b1631e878719";"adfe97bd-581e-63f4-4a29-ab4794136fba";"v"
"b14eb6c9-2689-b9b0-493a-e97ac95c6297";"26a5c062-d559-0be1-4c0b-aec9c4df46c3";"m"
"0e21c387-6780-0b82-55c2-19d29485e982";"b87d279c-1022-d41a-b4e6-183c8966ed11";"v"
"6a23278e-5256-883a-4a61-c14295970bf7";"eb8a6437-1b37-bd39-55ea-b8ddf44d25e0";"m"
"ee55278c-3fdb-5b10-9c1e-b42370c67e9d";"4b86ae7d-d360-8b80-74a7-0163119b248c";"v"
"f599b024-abf3-e7b9-96c3-29b7a43b4106";"c2aac5ea-185a-71a1-be97-73caf90fee14";"m"
"ea18b9dd-4c52-f8cb-ea7e-2b225959983f";"9e14306c-e942-6951-0ea2-f2ac73e4277c";"v"
"6b833c79-cbdc-3edf-b27b-a3cd485a2921";"c2aac5ea-185a-71a1-be97-73caf90fee14";"m"
"01aa0f9a-e335-d3b5-4518-0b28cb8a7ecb";"9e14306c-e942-6951-0ea2-f2ac73e4277c";"v"
"cd883108-5d25-d457-ce5b-e0d40daaeead";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"58faf557-6780-5d32-fecf-7b8baf81bcc1";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"be245c02-d4ab-214f-4ba8-2fffce8e9730";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"21be48c2-0078-e1e4-8057-a48aeffa1f02";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"8942cf51-f3ab-1e68-6856-7324efa963f4";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"6339d308-00fb-2a56-825b-bfcd8b27fe92";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"067301b6-d444-45e3-ee5e-4f3457a12ffe";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"26d80a62-d7c7-67b5-c016-7e8df703d733";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"43225bce-6108-8081-9ef7-7deac1996090";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"49da4d5a-66a4-cd95-1e62-1f04c15a19c8";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"cf890ace-1469-d784-85be-4ebf06ad75ad";"0b46ffd0-94ec-2cc4-307b-9f2634813b83";"m"
"305c275b-bdb6-7b7f-f014-73445c72d5d5";"4ceb1bab-1dbb-49d3-e685-8b93b2464c92";"v"
"dd7b9317-c8cb-acf4-28c9-418dc50949ef";"2f5e4b08-df5b-140b-fd74-1052ae77f832";"m"
"217b187f-c1ad-e765-04a1-435af31ed30c";"085e06a4-ba81-886e-aa7e-ccf01479f1ed";"v"
"1088eb7e-1b74-b66d-87e5-aa1aac5bf238";"2f5e4b08-df5b-140b-fd74-1052ae77f832";"m"
"12820050-e8ef-8e91-52d6-7ffaf412ff30";"085e06a4-ba81-886e-aa7e-ccf01479f1ed";"v"
"0adca638-1625-9798-acc9-03ff244ad6ec";"2f5e4b08-df5b-140b-fd74-1052ae77f832";"m"
"1dd46d24-ab1c-1eb6-0a42-25628f344ba5";"085e06a4-ba81-886e-aa7e-ccf01479f1ed";"v"
"ad067bda-5d0f-8fee-2bd8-470c3198c2c3";"2f5e4b08-df5b-140b-fd74-1052ae77f832";"m"
"cc8ac4ce-8a62-0a46-dc20-8b637bf93f0a";"085e06a4-ba81-886e-aa7e-ccf01479f1ed";"v"
"d8a524e3-6bf5-35a5-026d-8b6d72a616a3";"f9072b94-4cd2-30b2-7430-1a2e6ff2ed8c";"m"
"168d3c21-6798-391b-3ca0-7d4197e55d38";"46b9cf62-acc6-3661-fb87-dcaa31515183";"v"
"72c087ce-dc7a-49ea-11d7-102689fa80eb";"f9072b94-4cd2-30b2-7430-1a2e6ff2ed8c";"m"
"827a0215-3adf-618b-297a-29b96840f3b2";"46b9cf62-acc6-3661-fb87-dcaa31515183";"v"
"a4a14dcc-88f7-c899-646e-5d93bc4a908a";"40cdfcdc-816c-0349-0bdb-f595d5f7c58d";"m"
"7f05c8e1-87cc-d195-d047-edef02d2dac7";"136ebd3c-a8b8-b8be-1b92-f1ab62222d62";"v"
"3ee1e28e-4a96-3706-5acd-3dc646fd615f";"0e7d240b-d6ad-29b8-eba7-3ebe2a6d1971";"m"
"11a55369-cd65-5b7d-1451-ac3b42b83fd6";"68371f32-f299-cb17-c45b-5e573f41ad17";"v"
"9c1c049c-9b07-f44f-7367-f03586673736";"0e7d240b-d6ad-29b8-eba7-3ebe2a6d1971";"m"
"d2a4971b-a1f4-e450-2b9b-ea0a1d563c60";"68371f32-f299-cb17-c45b-5e573f41ad17";"v"
"2b8ca330-e0c3-abee-8b99-1ff933382f4c";"0476cabc-d141-e07c-6f87-38974faa3f90";"m"
