"parents_id";"partners_id";"groom";"father";"bride";"mother";"distance";"length partners";"length parents";"years_between"
35499;41760;250560;212998;250563;212999;0;43;43;40
35499;72842;437052;212995;437055;212996;0;49;49;35
40157;76836;461016;240943;461019;240944;0;35;35;29
43761;7165;42990;262570;42993;262571;0;33;33;34
43761;45828;274968;262567;274971;262568;1;33;33;29
44147;38987;233922;264886;233925;264887;0;33;33;25
51674;73119;438714;310048;438717;310049;2;30;31;32
51674;8791;52746;310045;52749;310046;0;37;37;29
54307;54596;327576;325846;327579;325847;1;32;33;32
54307;65457;392742;325843;392745;325844;1;33;33;31
68024;13906;83436;408148;83439;408149;3;37;37;38
68024;23876;143256;408145;143259;408146;0;41;41;25
74661;4128;24768;447967;24771;447968;0;26;26;30
76309;54745;328470;457855;328473;457856;0;43;43;24
78196;10078;60468;469180;60471;469181;0;30;30;35
78196;2202;13212;469177;13215;469178;3;48;48;28
2478;36328;217968;14869;217971;14870;0;34;34;34
33000;86114;516684;198001;516687;198002;0;37;37;28
64235;71668;430008;385411;430011;385412;0;30;30;35
64235;11808;70848;385414;70851;385415;0;37;37;24
72257;21163;126978;433543;126981;433544;3;26;25;34
83713;65031;390186;502279;390189;502280;0;33;33;32
88961;83709;502254;533767;502257;533768;0;31;31;39
90579;10396;62376;543475;62379;543476;0;38;38;32
90579;23874;143244;543478;143247;543479;0;30;30;28
12833;9485;56910;77002;56913;77003;2;43;42;33
38893;29290;175740;233362;175743;233363;0;31;31;32
38893;79111;474666;233359;474669;233360;3;37;39;31
73751;9026;54156;442507;54159;442508;0;39;39;39
73751;97174;583044;442510;583047;442511;0;28;28;28
94159;85913;515478;564958;515481;564959;0;35;35;24
62118;5338;32028;372712;32031;372713;0;30;30;27
639;12789;76734;3835;76737;3836;0;31;31;23
699;26007;156042;4198;156045;4199;0;49;49;30
699;81454;488724;4195;488727;4196;0;38;38;30
1082;67700;406200;6496;406203;6497;0;36;36;27
2322;2159;12954;13936;12957;13937;0;37;37;26
40772;68863;413178;244633;413181;244634;0;35;35;39
40772;17438;104628;244636;104631;244637;1;38;37;31
53386;19339;116034;320317;116037;320318;1;35;35;31
53386;61621;369726;320320;369729;320321;0;42;42;28
86204;11209;67254;517228;67257;517229;1;42;41;22
86895;76415;458490;521374;458493;521375;0;34;34;38
86895;8293;49758;521371;49761;521372;0;38;38;29
87415;28440;170640;524491;170643;524492;1;43;43;33
87415;45945;275670;524494;275673;524495;1;37;37;30
92616;52297;313782;555697;313785;555698;0;48;48;32
95927;56837;341022;575566;341025;575567;0;49;49;23
98569;10385;62310;591418;62313;591419;3;30;29;24
15491;63560;381360;92947;381363;92948;2;30;30;26
25559;79406;476436;153358;476439;153359;3;34;35;24
31048;44290;265740;186289;265743;186290;0;25;25;38
56466;50688;304128;338800;304131;338801;0;48;48;32
75454;56324;337944;452728;337947;452729;1;39;40;37
76655;53088;318528;459934;318531;459935;0;29;29;28
76655;8227;49362;459931;49365;459932;0;32;32;22
36781;1145;6870;220690;6873;220691;3;32;35;40
36781;30763;184578;220687;184581;220688;0;34;34;39
75736;14851;89106;454417;89109;454418;0;25;25;29
42316;61991;371946;253897;371949;253898;1;38;39;25
3826;72464;434784;22957;434787;22958;0;43;43;26
9865;1758;10548;59194;10551;59195;0;46;46;40
9865;64562;387372;59191;387375;59192;0;31;31;30
19074;52921;317526;114445;317529;114446;0;48;48;31
19074;15465;92790;114448;92793;114449;0;36;36;23
47305;89738;538428;283834;538431;283835;0;54;54;35
47305;59026;354156;283831;354159;283832;0;43;43;34
53954;26569;159414;323728;159417;323729;0;38;38;28
60659;28126;168756;363958;168759;363959;0;42;42;33
60659;94133;564798;363955;564801;363956;0;26;26;29
67831;7821;46926;406990;46929;406991;0;40;40;22
67831;49902;299412;406987;299415;406988;0;42;42;22
82465;96758;580548;494794;580551;494795;0;28;28;29
90920;83267;499602;545521;499605;545522;0;52;52;34
90920;45770;274620;545524;274623;545525;0;26;26;28
9944;64351;386106;59665;386109;59666;0;50;50;27
9944;60210;361260;59668;361263;59669;0;31;31;19
14380;87172;523032;86284;523035;86285;0;43;43;37
14380;59956;359736;86281;359739;86282;0;45;45;33
23543;5844;35064;141262;35067;141263;0;42;42;33
30597;46747;280482;183583;280485;183584;0;30;30;39
30597;58647;351882;183586;351885;183587;0;32;32;23
36451;42815;256890;218707;256893;218708;0;33;33;35
99918;46352;278112;599512;278115;599513;2;36;36;27
99918;73901;443406;599509;443409;599510;0;52;52;26
92639;10886;65316;555835;65319;555836;0;34;34;31
77473;36944;221664;464839;221667;464840;0;45;45;27
77473;74054;444324;464842;444327;464843;0;32;32;22
86381;51568;309408;518290;309411;518291;0;46;46;21
100601;73576;441456;603610;441459;603611;0;42;42;24
100601;32832;196992;603607;196995;603608;0;33;33;22
14308;33064;198384;85852;198387;85853;1;34;35;25
14308;38106;228636;85849;228639;85850;0;35;35;25
81599;66278;397668;489595;397671;489596;1;34;34;36
11418;97932;587592;68512;587595;68513;0;31;31;35
11418;98036;588216;68509;588219;68510;0;41;41;24
32890;10082;60492;197344;60495;197345;0;37;37;26
32890;15567;93402;197341;93405;197342;0;39;39;26
48629;24605;147630;291775;147633;291776;0;57;57;25
26062;44952;269712;156376;269715;156377;0;24;24;26
5400;48682;292092;32401;292095;32402;0;46;46;25
19760;59252;355512;118564;355515;118565;0;32;32;36
19760;45682;274092;118561;274095;118562;0;32;32;19
95816;4316;25896;574900;25899;574901;0;41;41;38
95816;25395;152370;574897;152373;574898;1;32;32;25
8462;57348;344088;50773;344091;50774;2;37;35;32
8462;25512;153072;50776;153075;50777;0;38;38;25
25101;84183;505098;150610;505101;150611;0;34;34;28
72880;100153;600918;437284;600921;437285;3;42;45;31
22625;72574;435444;135754;435447;135755;1;38;39;26
40552;65275;391650;243316;391653;243317;2;39;39;32
75735;5435;32610;454411;32613;454412;0;47;47;32
94168;24075;144450;565009;144453;565010;2;27;29;40
100769;4190;25140;604618;25143;604619;1;24;25;38
79406;8105;48630;476440;48633;476441;1;48;48;27
968;64856;389136;5812;389139;5813;0;27;27;25
5494;71590;429540;32965;429543;32966;0;34;34;26
54752;42758;256548;328513;256551;328514;2;40;42;37
54752;46624;279744;328516;279747;328517;0;33;33;24
94909;43018;258108;569455;258111;569456;0;48;48;39
94909;87548;525288;569458;525291;569459;1;44;44;35
83595;42563;255378;501571;255381;501572;0;35;35;34
29037;401;2406;174226;2409;174227;0;36;36;30
29037;32538;195228;174223;195231;174224;1;38;38;26
45919;46397;278382;275518;278385;275519;0;40;40;37
45919;86628;519768;275515;519771;275516;1;38;39;36
65347;78374;470244;392086;470247;392087;1;58;58;39
96210;29508;177048;577264;177051;577265;1;30;31;39
31393;27638;165828;188362;165831;188363;0;33;33;29
56957;71602;429612;341743;429615;341744;0;22;22;28
56957;64767;388602;341746;388605;341747;0;28;28;25
10639;91389;548334;63835;548337;63836;2;28;30;35
25370;56356;338136;152221;338139;152222;0;36;36;35
40638;19899;119394;243832;119397;243833;1;31;32;32
59723;28162;168972;358339;168975;358340;0;31;31;29
59723;46040;276240;358342;276243;358343;0;42;42;25
61443;78689;472134;368662;472137;368663;0;29;29;23
62546;9298;55788;375280;55791;375281;0;38;38;28
62546;84795;508770;375277;508773;375278;0;38;38;28
17185;21315;127890;103111;127893;103112;0;37;37;33
40655;9560;57360;243934;57363;243935;1;34;33;39
59112;35231;211386;354676;211389;354677;1;39;40;22
23189;51214;307284;139138;307287;139139;0;42;42;32
