parents_id;partners_id;groom;father;bride;mother;distance;length partners;length parents;years_between
68493;2472;14832;410962;14835;410963;0;27;27;17
37130;51744;310464;222784;310467;222785;0;36;36;20
61143;2837;17022;366859;17025;366860;0;26;26;19
74231;1075;6450;445390;6453;445391;2;38;39;19
4191;99176;595056;25150;595059;25151;1;31;32;20
38944;31355;188130;233668;188133;233669;0;35;35;21
69043;80729;484374;414259;484377;414260;0;31;31;20
57592;97493;584958;345553;584961;345554;0;27;27;16
60873;19590;117540;365242;117543;365243;0;30;30;20
43261;54628;327768;259570;327771;259571;0;38;38;18
79953;42025;252150;479719;252153;479720;0;29;29;19
34361;46279;277674;206170;277677;206171;3;44;43;19
14116;96026;576156;84700;576159;84701;0;26;26;21
77887;55213;331278;467326;331281;467327;0;34;34;22
96900;91985;551910;581404;551913;581405;0;42;42;21
79203;41627;249762;475219;249765;475220;0;32;32;21
6545;97706;586236;39271;586239;39272;0;26;26;19
95430;17287;103722;572584;103725;572585;3;45;44;20
86126;34878;209268;516757;209271;516758;0;28;28;22
56490;48406;290436;338944;290439;338945;0;35;35;21
86429;53338;320028;518578;320031;518579;0;49;49;18
59780;45151;270906;358681;270909;358682;0;45;45;20
56098;17979;107874;336589;107877;336590;3;29;28;21
95804;24115;144690;574825;144693;574826;0;38;38;19
39644;28515;171090;237865;171093;237866;1;34;35;19
272;94411;566466;1633;566469;1634;2;27;28;20
4934;32993;197958;29608;197961;29609;0;33;33;19
61218;21265;127590;367312;127593;367313;1;33;32;19
77499;28603;171618;464995;171621;464996;1;30;29;18
17821;93716;562296;106930;562299;106931;0;39;39;21
48023;8081;48486;288142;48489;288143;2;34;34;22
26426;26684;160104;158557;160107;158558;1;39;39;23
25442;67168;403008;152656;403011;152657;0;34;34;22
1390;41652;249912;8341;249915;8342;0;35;35;22
88715;60745;364470;532291;364473;532292;0;25;25;23
20744;25812;154872;124465;154875;124466;0;41;41;19
84339;54003;324018;506038;324021;506039;0;28;28;20
73838;93705;562230;443032;562233;443033;0;29;29;20
14361;69274;415644;86167;415647;86168;2;27;29;21
27794;19303;115818;166765;115821;166766;0;30;30;21
22660;58739;352434;135961;352437;135962;0;34;34;22
31275;50345;302070;187651;302073;187652;1;30;31;18
56156;17600;105600;336937;105603;336938;0;31;31;20
82517;48019;288114;495106;288117;495107;1;25;26;20
47474;62996;377976;284845;377979;284846;0;31;31;21
