"uuid";"unique_person_id";"role"
"7b185532-525e-ed58-fac7-b00303afa10d";0;"[2, 3]"
"85aefa24-a41a-19af-72d1-3e7b01ea39a0";0;"[4]"
"0485e974-18b6-c4d4-1006-77023ee4c578";0;"[1]"
"e7b998a2-941a-6403-8367-ee565c1bcbe2";1;"[2, 3]"
"8224a334-0ad4-8320-6041-e98ac494ff16";1;"[4]"
"bf31a4e2-3080-a5de-4b11-1c316b68a39f";1;"[1]"
"757cd139-aad5-9955-6844-9cda1d350d1d";2;"[2, 3]"
"610e52f8-5de9-890e-684f-18cc84123a3a";2;"[4]"
"3c556ad7-fc90-7ef9-98a5-b63e4c109cbb";2;"[1]"
"fc08f20a-9d2a-790a-8b09-333150cb9128";3;"[2, 3]"
"ba31a328-bce4-cf13-eae0-9fbb7d17827d";3;"[4]"
"137ad49a-6bdb-19d2-a6a0-c1121b399740";3;"[1]"
"12efcd50-aa16-4db0-b543-8c0d6d726366";4;"[2, 3]"
"cf3db7ff-b6bd-e837-568f-b1bcef4df493";4;"[4]"
"6bebc280-6c88-4e78-8dc8-89938ae171b4";4;"[4]"
"0299a23f-55a3-a44e-ed9e-315db74666b9";4;"[4]"
"b1ab99b5-85e5-ada3-e1d2-cd87dad42f9d";4;"[1]"
"f789a67d-a1dd-30f2-50e0-98076c79ddb6";4;"[2, 3]"
"bb120d53-9aef-7d6e-9a58-4bfde5a8e42f";4;"[2, 3]"
"0ec8bc94-ed2a-144e-1fe7-450c31b08213";5;"[2, 3]"
"16e060cf-1354-375d-c84e-238fecc4b630";5;"[4]"
"4e495928-7d63-3752-f78c-9cf429544778";5;"[4]"
"41d13287-dba7-22a8-6481-3f8256c95e2b";5;"[4]"
"482ad10e-6fa2-0d43-3925-075419d631fb";5;"[1]"
"b6d7b5de-4934-eecf-ec3b-6cee3c04e4e7";5;"[2, 3]"
"224a634f-4585-9803-ef5d-7883493da647";5;"[2, 3]"
"bdb8ad80-f062-b4bb-dad6-c3daede3f71b";6;"[2, 3]"
"e3412b40-a9d2-50c0-3d47-b42555d08e30";6;"[4]"
"20c5910a-0600-19ce-c885-82f9c90c774b";6;"[4]"
"fe0f76c9-c5b9-2adc-05fc-32974c73626b";6;"[4]"
"c04007fe-76ce-0ba4-6d58-b92518fb1a65";6;"[4]"
"bb4a1434-040d-7a8d-ee63-2e0031d95658";6;"[4]"
